MUN;Nao;Total
311590 CHACARA;36;37
311600 CHALE;92;93
311610 CHAPADA DO NORTE;86;88
311615 CHAPADA GAUCHA;193;195
311620 CHIADOR;29;29
311630 CIPOTANEA;42;44
311640 CLARAVAL;9;10
311650 CLARO DOS POCOES;66;77
311660 CLAUDIO;403;410
311670 COIMBRA;63;67
311680 COLUNA;99;102
311690 COMENDADOR GOMES;22;23
311700 COMERCINHO;54;54
311710 CONCEICAO DA APARECIDA;124;124
311720 CONCEICAO DAS PEDRAS;25;26
311730 CONCEICAO DAS ALAGOAS;335;339
311740 CONCEICAO DE IPANEMA;35;56
311750 CONCEICAO DO MATO DENTRO;288;299
311760 CONCEICAO DO PARA;59;60
311770 CONCEICAO DO RIO VERDE;159;161
311780 CONCEICAO DOS OUROS;114;116
311783 CONEGO MARINHO;66;69
311787 CONFINS;97;97
311790 CONGONHAL;132;133
311800 CONGONHAS;680;688
311810 CONGONHAS DO NORTE;39;48
311820 CONQUISTA;82;82
311830 CONSELHEIRO LAFAIETE;1608;1618
311840 CONSELHEIRO PENA;238;242
311850 CONSOLACAO;12;12
311860 CONTAGEM;7849;7904
311870 COQUEIRAL;100;102
311880 CORACAO DE JESUS;222;231
311890 CORDISBURGO;57;57
311900 CORDISLANDIA;40;40
311910 CORINTO;291;293
311920 COROACI;80;80
311930 COROMANDEL;313;315
311940 CORONEL FABRICIANO;1202;1224
311950 CORONEL MURTA;90;92
311960 CORONEL PACHECO;36;36
311970 CORONEL XAVIER CHAVES;28;28
311980 CORREGO DANTA;17;18
311990 CORREGO DO BOM JESUS;38;38
311995 CORREGO FUNDO;62;62
312000 CORREGO NOVO;26;27
312010 COUTO DE MAGALHAES DE MINAS;49;53
312015 CRISOLITA;75;75
312020 CRISTAIS;129;132
312030 CRISTALIA;60;66
312040 CRISTIANO OTONI;60;60
312050 CRISTINA;102;103
312060 CRUCILANDIA;43;45
312070 CRUZEIRO DA FORTALEZA;53;53
312080 CRUZILIA;190;191
312083 CUPARAQUE;53;55
312087 CURRAL DE DENTRO;114;115
312090 CURVELO;933;948
312100 DATAS;78;82
312110 DELFIM MOREIRA;79;79
312120 DELFINOPOLIS;98;99
312125 DELTA;125;126
312130 DESCOBERTO;26;51
312140 DESTERRO DE ENTRE RIOS;65;72
312150 DESTERRO DO MELO;28;28
312160 DIAMANTINA;618;676
312170 DIOGO DE VASCONCELOS;45;46
312180 DIONISIO;42;51
312190 DIVINESIA;40;41
312200 DIVINO;282;289
312210 DIVINO DAS LARANJEIRAS;39;40
312220 DIVINOLANDIA DE MINAS;105;108
312230 DIVINOPOLIS;2598;2629
312235 DIVISA ALEGRE;76;76
312240 DIVISA NOVA;72;72
312245 DIVISOPOLIS;89;91
312247 DOM BOSCO;5;34
312250 DOM CAVATI;63;63
312260 DOM JOAQUIM;49;51
312270 DOM SILVERIO;48;48
312280 DOM VICOSO;30;30
312290 DONA EUSEBIA;73;75
312300 DORES DE CAMPOS;111;114
312310 DORES DE GUANHAES;51;51
312320 DORES DO INDAIA;112;112
312330 DORES DO TURVO;53;54
312340 DORESOPOLIS;17;17
312350 DOURADOQUARA;19;19
312352 DURANDE;120;120
312360 ELOI MENDES;325;326
312370 ENGENHEIRO CALDAS;134;139
312380 ENGENHEIRO NAVARRO;71;75
312385 ENTRE FOLHAS;69;69
312390 ENTRE RIOS DE MINAS;104;166
312400 ERVALIA;204;219
312410 ESMERALDAS;1000;1065
312420 ESPERA FELIZ;262;319
312430 ESPINOSA;135;359
312440 ESPIRITO SANTO DO DOURADO;106;106
312450 ESTIVA;126;127
312460 ESTRELA DALVA;27;29
312470 ESTRELA DO INDAIA;24;24
312480 ESTRELA DO SUL;77;77
312490 EUGENOPOLIS;25;120
312500 EWBANK DA CAMARA;48;64
312510 EXTREMA;702;706
312520 FAMA;22;22
312530 FARIA LEMOS;49;49
312540 FELICIO DOS SANTOS;53;58
312550 SAO GONCALO DO RIO PRETO;28;30
312560 FELISBURGO;93;98
312570 FELIXLANDIA;120;122
312580 FERNANDES TOURINHO;30;30
312590 FERROS;80;83
312595 FERVEDOURO;127;141
312600 FLORESTAL;87;89
312610 FORMIGA;710;714
312620 FORMOSO;105;107
312630 FORTALEZA DE MINAS;35;35
312640 FORTUNA DE MINAS;32;32
312650 FRANCISCO BADARO;49;50
312660 FRANCISCO DUMONT;48;50
312670 FRANCISCO SA;225;238
312675 FRANCISCOPOLIS;52;52
312680 FREI GASPAR;89;90
312690 FREI INOCENCIO;108;110
312695 FREI LAGONEGRO;46;46
312700 FRONTEIRA;123;126
312705 FRONTEIRA DOS VALES;48;48
312707 FRUTA DE LEITE;44;45
312710 FRUTAL;674;682
312720 FUNILANDIA;54;55
312730 GALILEIA;94;96
312733 GAMELEIRAS;63;65
312735 GLAUCILANDIA;18;22
312737 GOIABEIRA;44;45
312738 GOIANA;30;30
312740 GONCALVES;44;45
312750 GONZAGA;68;71
312760 GOUVEIA;117;124
312770 GOVERNADOR VALADARES;3502;3541
312780 GRAO MOGOL;145;153
312790 GRUPIARA;8;8
312800 GUANHAES;435;440
312810 GUAPE;141;144
312820 GUARACIABA;70;72
312825 GUARACIAMA;56;58
312830 GUARANESIA;222;226
312840 GUARANI;78;81
312850 GUARARA;34;37
312860 GUARDA-MOR;48;58
312870 GUAXUPE;509;514
312880 GUIDOVAL;94;96
312890 GUIMARANIA;110;110
312900 GUIRICEMA;53;59
312910 GURINHATA;33;33
312920 HELIODORA;66;67
312930 IAPU;106;107
312940 IBERTIOGA;63;64
312950 IBIA;288;289
312960 IBIAI;93;93
312965 IBIRACATU;55;58
312970 IBIRACI;137;140
312980 IBIRITE;2365;2385
312990 IBITIURA DE MINAS;27;27
313000 IBITURUNA;29;29
313005 ICARAI DE MINAS;82;85
313010 IGARAPE;571;584
313020 IGARATINGA;130;130
313030 IGUATAMA;73;73
313040 IJACI;72;72
313050 ILICINEA;142;149
313055 IMBE DE MINAS;86;87
313060 INCONFIDENTES;62;63
313065 INDAIABIRA;84;84
313070 INDIANOPOLIS;58;58
313080 INGAI;33;33
313090 INHAPIM;242;243
313100 INHAUMA;57;57
313110 INIMUTABA;80;82
313115 IPABA;220;225
313120 IPANEMA;112;196
313130 IPATINGA;2738;2762
313140 IPIACU;42;43
313150 IPUIUNA;81;81
313160 IRAI DE MINAS;109;109
313170 ITABIRA;1324;1333
313180 ITABIRINHA;143;144
313190 ITABIRITO;745;750
313200 ITACAMBIRA;29;33
313210 ITACARAMBI;219;225
313220 ITAGUARA;149;152
313230 ITAIPE;157;160
313240 ITAJUBA;1058;1061
313250 ITAMARANDIBA;438;442
313260 ITAMARATI DE MINAS;47;50
313270 ITAMBACURI;300;301
313280 ITAMBE DO MATO DENTRO;29;29
313290 ITAMOGI;104;104
313300 ITAMONTE;163;163
313310 ITANHANDU;166;168
313320 ITANHOMI;143;143
313330 ITAOBIM;230;232
313340 ITAPAGIPE;123;126
313350 ITAPECERICA;187;189
313360 ITAPEVA;138;140
313370 ITATIAIUCU;141;143
313375 ITAU DE MINAS;143;143
313380 ITAUNA;1032;1040
313390 ITAVERAVA;47;47
313400 ITINGA;150;150
313410 ITUETA;72;74
313420 ITUIUTABA;1042;1054
313430 ITUMIRIM;62;62
313440 ITURAMA;474;476
313450 ITUTINGA;59;59
313460 JABOTICATUBAS;209;214
313470 JACINTO;119;120
313480 JACUI;85;87
313490 JACUTINGA;288;288
313500 JAGUARACU;37;41
313505 JAIBA;566;580
313507 JAMPRUCA;63;67
313510 JANAUBA;1057;1071
313520 JANUARIA;827;860
313530 JAPARAIBA;45;46
313535 JAPONVAR;95;98
313540 JECEABA;71;77
313545 JENIPAPO DE MINAS;78;80
313550 JEQUERI;126;126
313560 JEQUITAI;67;71
313570 JEQUITIBA;56;56
313580 JEQUITINHONHA;227;231
313590 JESUANIA;38;39
313600 JOAIMA;176;178
313610 JOANESIA;37;37
313620 JOAO MONLEVADE;96;862
313630 JOAO PINHEIRO;666;679
313640 JOAQUIM FELICIO;33;34
313650 JORDANIA;109;110
313652 JOSE GONCALVES DE MINAS;31;48
313655 JOSE RAYDAN;48;50
313657 JOSENOPOLIS;41;42
313660 NOVA UNIAO;73;73
313665 JUATUBA;413;417
313670 JUIZ DE FORA;5964;6043
313680 JURAMENTO;31;38
313690 JURUAIA;164;165
313695 JUVENILIA;64;66
313700 LADAINHA;174;177
313710 LAGAMAR;54;56
313720 LAGOA DA PRATA;613;624
313730 LAGOA DOS PATOS;44;45
313740 LAGOA DOURADA;150;151
313750 LAGOA FORMOSA;196;198
313753 LAGOA GRANDE;89;89
313760 LAGOA SANTA;781;788
313770 LAJINHA;332;334
313780 LAMBARI;211;214
313790 LAMIM;23;24
313800 LARANJAL;26;67
313810 LASSANCE;68;70
313820 LAVRAS;1369;1374
313830 LEANDRO FERREIRA;20;20
313835 LEME DO PRADO;24;33
313840 LEOPOLDINA;571;581
313850 LIBERDADE;44;46
313860 LIMA DUARTE;164;171
313862 LIMEIRA DO OESTE;88;89
313865 LONTRA;97;102
313867 LUISBURGO;113;113
313868 LUISLANDIA;70;70
313870 LUMINARIAS;48;48
313880 LUZ;156;163
313890 MACHACALIS;80;81
313900 MACHADO;488;491
313910 MADRE DE DEUS DE MINAS;45;45
313920 MALACACHETA;219;224
313925 MAMONAS;52;54
313930 MANGA;283;285
313940 MANHUACU;1221;1226
313950 MANHUMIRIM;255;261
313960 MANTENA;333;335
313970 MARAVILHAS;56;56
313980 MAR DE ESPANHA;151;157
313990 MARIA DA FE;179;180
314000 MARIANA;848;853
314010 MARILAC;44;45
314015 MARIO CAMPOS;194;197
314020 MARIPA DE MINAS;28;30
314030 MARLIERIA;33;34
314040 MARMELOPOLIS;35;35
314050 MARTINHO CAMPOS;119;122
314053 MARTINS SOARES;130;130
314055 MATA VERDE;88;90
314060 MATERLANDIA;42;42
314070 MATEUS LEME;435;441
314080 MATIAS BARBOSA;142;143
314085 MATIAS CARDOSO;134;135
314090 MATIPO;172;174
314100 MATO VERDE;148;148
314110 MATOZINHOS;428;433
314120 MATUTINA;41;41
314130 MEDEIROS;32;34
314140 MEDINA;229;233
314150 MENDES PIMENTEL;48;49
314160 MERCES;92;93
314170 MESQUITA;52;52
314180 MINAS NOVAS;283;289
314190 MINDURI;38;38
314200 MIRABELA;147;160
314210 MIRADOURO;12;94
314220 MIRAI;107;156
314225 MIRAVANIA;49;51
314230 MOEDA;53;53
314240 MOEMA;89;89
314250 MONJOLOS;22;22
314260 MONSENHOR PAULO;79;79
314270 MONTALVANIA;206;213
314280 MONTE ALEGRE DE MINAS;186;188
314290 MONTE AZUL;255;261
314300 MONTE BELO;131;132
314310 MONTE CARMELO;529;534
314315 MONTE FORMOSO;69;71
314320 MONTE SANTO DE MINAS;224;224
314330 MONTES CLAROS;5106;5978
314340 MONTE SIAO;171;174
314345 MONTEZUMA;77;79
314350 MORADA NOVA DE MINAS;65;67
314360 MORRO DA GARCA;40;40
314370 MORRO DO PILAR;29;29
314380 MUNHOZ;78;79
314390 MURIAE;54;1234
314400 MUTUM;335;346
314410 MUZAMBINHO;250;251
314420 NACIP RAYDAN;27;28
314430 NANUQUE;436;439
314435 NAQUE;129;129
314437 NATALANDIA;9;38
314440 NATERCIA;29;30
314450 NAZARENO;83;84
314460 NEPOMUCENO;264;264
314465 NINHEIRA;66;84
314467 NOVA BELEM;48;48
314470 NOVA ERA;21;194
314480 NOVA LIMA;1367;1376
314490 NOVA MODICA;39;39
314500 NOVA PONTE;175;179
314505 NOVA PORTEIRINHA;87;88
314510 NOVA RESENDE;199;201
314520 NOVA SERRANA;1788;1804
314530 NOVO CRUZEIRO;337;342
314535 NOVO ORIENTE DE MINAS;121;122
314537 NOVORIZONTE;47;48
314540 OLARIA;20;21
314545 OLHOS-D'AGUA;85;88
314550 OLIMPIO NORONHA;22;24
314560 OLIVEIRA;448;450
314570 OLIVEIRA FORTES;5;21
314580 ONCA DE PITANGUI;24;24
314585 ORATORIOS;66;66
314587 ORIZANIA;103;103
314590 OURO BRANCO;464;471
314600 OURO FINO;324;332
314610 OURO PRETO;764;767
314620 OURO VERDE DE MINAS;103;103
314625 PADRE CARVALHO;55;56
314630 PADRE PARAISO;267;271
314640 PAINEIRAS;32;33
314650 PAINS;103;105
314655 PAI PEDRO;71;71
314660 PAIVA;11;11
314670 PALMA;39;47
314675 PALMOPOLIS;97;98
314690 PAPAGAIOS;183;185
314700 PARACATU;129;1417
314710 PARA DE MINAS;1138;1146
314720 PARAGUACU;267;268
314730 PARAISOPOLIS;176;177
314740 PARAOPEBA;277;280
314750 PASSABEM;9;9
314760 PASSA QUATRO;155;157
314770 PASSA TEMPO;58;59
314780 PASSA-VINTE;20;20
314790 PASSOS;1449;1450
314795 PATIS;57;58
314800 PATOS DE MINAS;1805;1828
314810 PATROCINIO;1256;1263
314820 PATROCINIO DO MURIAE;2;50
314830 PAULA CANDIDO;110;110
314840 PAULISTAS;53;53
314850 PAVAO;76;77
314860 PECANHA;214;216
314870 PEDRA AZUL;298;304
314875 PEDRA BONITA;85;87
314880 PEDRA DO ANTA;26;26
314890 PEDRA DO INDAIA;30;30
314900 PEDRA DOURADA;30;32
314910 PEDRALVA;113;115
314915 PEDRAS DE MARIA DA CRUZ;124;129
314920 PEDRINOPOLIS;27;27
314930 PEDRO LEOPOLDO;678;683
314940 PEDRO TEIXEIRA;13;13
314950 PEQUERI;33;33
314960 PEQUI;35;37
314970 PERDIGAO;175;178
314980 PERDIZES;199;199
314990 PERDOES;208;210
314995 PERIQUITO;101;103
315000 PESCADOR;47;47
315010 PIAU;31;31
315015 PIEDADE DE CARATINGA;145;147
315020 PIEDADE DE PONTE NOVA;50;52
315030 PIEDADE DO RIO GRANDE;44;44
315040 PIEDADE DOS GERAIS;34;36
315050 PIMENTA;61;61
315053 PINGO-D'AGUA;68;68
315057 PINTOPOLIS;74;74
315060 PIRACEMA;53;54
315070 PIRAJUBA;73;73
315080 PIRANGA;145;146
315090 PIRANGUCU;57;58
315100 PIRANGUINHO;128;128
315110 PIRAPETINGA;149;153
315120 PIRAPORA;818;825
315130 PIRAUBA;116;119
315140 PITANGUI;328;338
315150 PIUMHI;439;441
315160 PLANURA;114;115
315170 POCO FUNDO;172;174
315180 POCOS DE CALDAS;1895;1906
315190 POCRANE;85;88
315200 POMPEU;408;412
315210 PONTE NOVA;630;634
315213 PONTO CHIQUE;48;49
315217 PONTO DOS VOLANTES;132;132
315220 PORTEIRINHA;471;479
315230 PORTO FIRME;87;88
315240 POTE;173;176
315250 POUSO ALEGRE;1969;1998
315260 POUSO ALTO;69;74
315270 PRADOS;106;107
315280 PRATA;318;319
315290 PRATAPOLIS;78;79
315300 PRATINHA;33;33
315310 PRESIDENTE BERNARDES;39;39
315320 PRESIDENTE JUSCELINO;25;25
315330 PRESIDENTE KUBITSCHEK;40;41
315340 PRESIDENTE OLEGARIO;152;153
315350 ALTO JEQUITIBA;100;102
315360 PRUDENTE DE MORAIS;151;153
315370 QUARTEL GERAL;27;27
315380 QUELUZITO;13;13
315390 RAPOSOS;211;212
315400 RAUL SOARES;241;242
315410 RECREIO;72;76
315415 REDUTO;117;118
315420 RESENDE COSTA;119;122
315430 RESPLENDOR;216;219
315440 RESSAQUINHA;46;46
315445 RIACHINHO;31;87
315450 RIACHO DOS MACHADOS;119;122
315460 RIBEIRAO DAS NEVES;4294;4332
315470 RIBEIRAO VERMELHO;40;40
315480 RIO ACIMA;130;131
315490 RIO CASCA;162;162
315500 RIO DOCE;24;24
315510 RIO DO PRADO;55;55
315520 RIO ESPERA;56;56
315530 RIO MANSO;46;46
315540 RIO NOVO;86;89
315550 RIO PARANAIBA;219;221
315560 RIO PARDO DE MINAS;394;394
315570 RIO PIRACICABA;12;123
315580 RIO POMBA;175;178
315590 RIO PRETO;46;47
315600 RIO VERMELHO;136;137
315610 RITAPOLIS;51;51
315620 ROCHEDO DE MINAS;20;34
315630 RODEIRO;120;120
315640 ROMARIA;42;43
315645 ROSARIO DA LIMEIRA;11;48
315650 RUBELITA;54;55
315660 RUBIM;127;129
315670 SABARA;1614;1621
315680 SABINOPOLIS;165;168
315690 SACRAMENTO;298;301
315700 SALINAS;503;511
315710 SALTO DA DIVISA;61;61
315720 SANTA BARBARA;42;404
315725 SANTA BARBARA DO LESTE;125;125
315727 SANTA BARBARA DO MONTE VERDE;39;39
315730 SANTA BARBARA DO TUGURIO;28;28
315733 SANTA CRUZ DE MINAS;99;99
315737 SANTA CRUZ DE SALINAS;51;51
315740 SANTA CRUZ DO ESCALVADO;41;41
315750 SANTA EFIGENIA DE MINAS;52;56
315760 SANTA FE DE MINAS;40;42
315765 SANTA HELENA DE MINAS;87;89
315770 SANTA JULIANA;202;205
315780 SANTA LUZIA;2931;2955
315790 SANTA MARGARIDA;231;237
315800 SANTA MARIA DE ITABIRA;115;117
315810 SANTA MARIA DO SALTO;46;46
315820 SANTA MARIA DO SUACUI;156;157
315830 SANTANA DA VARGEM;75;75
315840 SANTANA DE CATAGUASES;21;25
315850 SANTANA DE PIRAPAMA;52;54
315860 SANTANA DO DESERTO;27;27
315870 SANTANA DO GARAMBEU;22;22
315880 SANTANA DO JACARE;41;41
315890 SANTANA DO MANHUACU;146;150
315895 SANTANA DO PARAISO;698;706
315900 SANTANA DO RIACHO;53;53
315910 SANTANA DOS MONTES;31;31
315920 SANTA RITA DE CALDAS;91;92
315930 SANTA RITA DE JACUTINGA;42;42
315935 SANTA RITA DE MINAS;108;108
315940 SANTA RITA DE IBITIPOCA;29;29
315950 SANTA RITA DO ITUETO;87;89
315960 SANTA RITA DO SAPUCAI;464;472
315970 SANTA ROSA DA SERRA;38;38
315980 SANTA VITORIA;216;217
315990 SANTO ANTONIO DO AMPARO;175;178
316000 SANTO ANTONIO DO AVENTUREIRO;28;28
316010 SANTO ANTONIO DO GRAMA;44;44
316020 SANTO ANTONIO DO ITAMBE;36;39
316030 SANTO ANTONIO DO JACINTO;119;119
316040 SANTO ANTONIO DO MONTE;355;357
316045 SANTO ANTONIO DO RETIRO;80;80
316050 SANTO ANTONIO DO RIO ABAIXO;15;15
316060 SANTO HIPOLITO;25;25
316070 SANTOS DUMONT;121;440
316080 SAO BENTO ABADE;80;80
316090 SAO BRAS DO SUACUI;33;36
316095 SAO DOMINGOS DAS DORES;95;97
316100 SAO DOMINGOS DO PRATA;33;164
316105 SAO FELIX DE MINAS;25;26
316110 SAO FRANCISCO;686;708
316120 SAO FRANCISCO DE PAULA;71;71
316130 SAO FRANCISCO DE SALES;50;50
316140 SAO FRANCISCO DO GLORIA;11;45
316150 SAO GERALDO;94;99
316160 SAO GERALDO DA PIEDADE;29;29
316165 SAO GERALDO DO BAIXIO;36;36
316170 SAO GONCALO DO ABAETE;61;61
316180 SAO GONCALO DO PARA;117;117
316190 SAO GONCALO DO RIO ABAIXO;114;147
316200 SAO GONCALO DO SAPUCAI;326;326
316210 SAO GOTARDO;606;608
316220 SAO JOAO BATISTA DO GLORIA;96;96
316225 SAO JOAO DA LAGOA;67;68
316230 SAO JOAO DA MATA;24;24
316240 SAO JOAO DA PONTE;262;273
316245 SAO JOAO DAS MISSOES;261;274
316250 SAO JOAO DEL REI;976;980
316255 SAO JOAO DO MANHUACU;157;162
316257 SAO JOAO DO MANTENINHA;62;62
316260 SAO JOAO DO ORIENTE;79;79
316265 SAO JOAO DO PACUI;44;44
316270 SAO JOAO DO PARAISO;183;268
316280 SAO JOAO EVANGELISTA;228;233
316290 SAO JOAO NEPOMUCENO;201;311
316292 SAO JOAQUIM DE BICAS;419;432
316294 SAO JOSE DA BARRA;98;98
316295 SAO JOSE DA LAPA;338;339
316300 SAO JOSE DA SAFIRA;49;49
316310 SAO JOSE DA VARGINHA;41;41
316320 SAO JOSE DO ALEGRE;42;42
316330 SAO JOSE DO DIVINO;34;34
316340 SAO JOSE DO GOIABAL;53;56
316350 SAO JOSE DO JACURI;62;62
316360 SAO JOSE DO MANTIMENTO;36;43
316370 SAO LOURENCO;469;482
316380 SAO MIGUEL DO ANTA;70;70
316390 SAO PEDRO DA UNIAO;45;45
316400 SAO PEDRO DOS FERROS;60;61
316410 SAO PEDRO DO SUACUI;53;53
316420 SAO ROMAO;96;102
316430 SAO ROQUE DE MINAS;78;78
316440 SAO SEBASTIAO DA BELA VISTA;69;70
316443 SAO SEBASTIAO DA VARGEM ALEGRE;16;29
316447 SAO SEBASTIAO DO ANTA;88;89
316450 SAO SEBASTIAO DO MARANHAO;92;93
316460 SAO SEBASTIAO DO OESTE;127;130
316470 SAO SEBASTIAO DO PARAISO;874;875
316480 SAO SEBASTIAO DO RIO PRETO;11;12
316490 SAO SEBASTIAO DO RIO VERDE;16;16
316500 SAO TIAGO;139;139
316510 SAO TOMAS DE AQUINO;87;88
316520 SAO THOME DAS LETRAS;57;58
316530 SAO VICENTE DE MINAS;78;78
316540 SAPUCAI-MIRIM;75;76
316550 SARDOA;70;72
316553 SARZEDO;530;539
316555 SETUBINHA;155;156
316556 SEM-PEIXE;19;19
316557 SENADOR AMARAL;119;120
316560 SENADOR CORTES;27;27
316570 SENADOR FIRMINO;74;74
316580 SENADOR JOSE BENTO;15;15
316590 SENADOR MODESTINO GONCALVES;29;31
316600 SENHORA DE OLIVEIRA;49;49
316610 SENHORA DO PORTO;51;51
316620 SENHORA DOS REMEDIOS;98;99
316630 SERICITA;93;93
316640 SERITINGA;15;15
316650 SERRA AZUL DE MINAS;43;45
316660 SERRA DA SAUDADE;2;2
316670 SERRA DOS AIMORES;88;89
316680 SERRA DO SALITRE;188;192
316690 SERRANIA;107;108
316695 SERRANOPOLIS DE MINAS;42;42
316700 SERRANOS;30;30
316710 SERRO;267;273
316720 SETE LAGOAS;2570;2587
316730 SILVEIRANIA;28;29
316740 SILVIANOPOLIS;43;43
316750 SIMAO PEREIRA;25;25
316760 SIMONESIA;336;338
316770 SOBRALIA;38;38
316780 SOLEDADE DE MINAS;55;57
316790 TABULEIRO;42;42
316800 TAIOBEIRAS;501;504
316805 TAPARUBA;15;40
316810 TAPIRA;43;43
316820 TAPIRAI;15;15
316830 TAQUARACU DE MINAS;42;42
316840 TARUMIRIM;151;154
316850 TEIXEIRAS;116;119
316860 TEOFILO OTONI;1809;1830
316870 TIMOTEO;860;894
316880 TIRADENTES;90;90
316890 TIROS;86;86
316900 TOCANTINS;190;194
316905 TOCOS DO MOJI;32;32
316910 TOLEDO;88;88
316920 TOMBOS;67;70
316930 TRES CORACOES;1014;1019
316935 TRES MARIAS;370;381
316940 TRES PONTAS;708;719
316950 TUMIRITINGA;84;87
316960 TUPACIGUARA;202;203
316970 TURMALINA;166;250
316980 TURVOLANDIA;80;80
316990 UBA;1286;1300
317000 UBAI;114;119
317005 UBAPORANGA;146;146
317010 UBERABA;3839;3861
317020 UBERLANDIA;8942;8996
317030 UMBURATIBA;32;33
317040 UNAI;1170;1189
317043 UNIAO DE MINAS;29;30
317047 URUANA DE MINAS;31;31
317050 URUCANIA;147;151
317052 URUCUIA;89;92
317057 VARGEM ALEGRE;72;72
317060 VARGEM BONITA;23;23
317065 VARGEM GRANDE DO RIO PARDO;60;61
317070 VARGINHA;1727;1745
317075 VARJAO DE MINAS;93;93
317080 VARZEA DA PALMA;445;450
317090 VARZELANDIA;223;246
317100 VAZANTE;228;241
317103 VERDELANDIA;128;129
317107 VEREDINHA;31;54
317110 VERISSIMO;31;31
317115 VERMELHO NOVO;51;54
317120 VESPASIANO;1755;1773
317130 VICOSA;886;891
317140 VIEIRAS;2;33
317150 MATHIAS LOBATO;26;26
317160 VIRGEM DA LAPA;110;111
317170 VIRGINIA;98;98
317180 VIRGINOPOLIS;134;136
317190 VIRGOLANDIA;49;49
317200 VISCONDE DO RIO BRANCO;498;527
317210 VOLTA GRANDE;52;54
317220 WENCESLAU BRAZ;19;19
320010 AFONSO CLAUDIO;394;396
320013 AGUIA BRANCA;124;129
320016 AGUA DOCE DO NORTE;181;183
320020 ALEGRE;373;375
320030 ALFREDO CHAVES;126;126
320035 ALTO RIO NOVO;89;90
320040 ANCHIETA;416;418
320050 APIACA;73;74
320060 ARACRUZ;1440;1453
320070 ATILIO VIVACQUA;151;152
320080 BAIXO GUANDU;386;390
320090 BARRA DE SAO FRANCISCO;634;637
320100 BOA ESPERANCA;211;213
320110 BOM JESUS DO NORTE;74;75
320115 BREJETUBA;207;208
320120 CACHOEIRO DE ITAPEMIRIM;2513;2529
320130 CARIACICA;5358;5415
320140 CASTELO;442;447
320150 COLATINA;1582;1594
320160 CONCEICAO DA BARRA;416;417
320170 CONCEICAO DO CASTELO;176;176
320180 DIVINO DE SAO LOURENCO;63;64
320190 DOMINGOS MARTINS;462;471
320200 DORES DO RIO PRETO;73;78
320210 ECOPORANGA;299;304
320220 FUNDAO;262;263
320225 GOVERNADOR LINDENBERG;132;134
320230 GUACUI;426;428
320240 GUARAPARI;1780;1794
320245 IBATIBA;386;391
320250 IBIRACU;159;161
320255 IBITIRAMA;144;144
320260 ICONHA;134;134
320265 IRUPI;185;188
320270 ITAGUACU;147;152
320280 ITAPEMIRIM;625;629
320290 ITARANA;112;113
320300 IUNA;328;331
320305 JAGUARE;511;512
320310 JERONIMO MONTEIRO;120;122
320313 JOAO NEIVA;182;188
320316 LARANJA DA TERRA;102;104
320320 LINHARES;2547;2566
320330 MANTENOPOLIS;179;181
320332 MARATAIZES;583;588
320334 MARECHAL FLORIANO;198;202
320335 MARILANDIA;150;153
320340 MIMOSO DO SUL;275;288
320350 MONTANHA;275;278
320360 MUCURICI;76;76
320370 MUNIZ FREIRE;239;240
320380 MUQUI;140;142
320390 NOVA VENECIA;711;713
320400 PANCAS;222;224
320405 PEDRO CANARIO;304;305
320410 PINHEIROS;362;362
320420 PIUMA;335;340
320425 PONTO BELO;82;82
320430 PRESIDENTE KENNEDY;215;217
320435 RIO BANANAL;278;278
320440 RIO NOVO DO SUL;129;130
320450 SANTA LEOPOLDINA;122;124
320455 SANTA MARIA DE JETIBA;629;638
320460 SANTA TERESA;303;304
320465 SAO DOMINGOS DO NORTE;103;103
320470 SAO GABRIEL DA PALHA;466;470
320480 SAO JOSE DO CALCADO;116;117
320490 SAO MATEUS;1903;1917
320495 SAO ROQUE DO CANAA;107;108
320500 SERRA;7449;7567
320501 SOORETAMA;447;450
320503 VARGEM ALTA;244;247
320506 VENDA NOVA DO IMIGRANTE;326;332
320510 VIANA;1042;1052
320515 VILA PAVAO;99;103
320517 VILA VALERIO;225;227
320520 VILA VELHA;6179;6269
320530 VITORIA;4106;4171
330010 ANGRA DOS REIS;2311;2343
330015 APERIBE;97;99
330020 ARARUAMA;1640;1667
330022 AREAL;150;151
330023 ARMACAO DOS BUZIOS;621;641
330025 ARRAIAL DO CABO;319;429
330030 BARRA DO PIRAI;958;973
330040 BARRA MANSA;2068;2084
330045 BELFORD ROXO;6248;6314
330050 BOM JARDIM;302;310
330060 BOM JESUS DO ITABAPOANA;462;470
330070 CABO FRIO;2428;2612
330080 CACHOEIRAS DE MACACU;655;694
330090 CAMBUCI;108;113
330093 CARAPEBUS;124;150
330095 COMENDADOR LEVY GASPARIAN;96;99
330100 CAMPOS DOS GOYTACAZES;6760;6849
330110 CANTAGALO;217;221
330115 CARDOSO MOREIRA;117;122
330120 CARMO;212;212
330130 CASIMIRO DE ABREU;534;621
330140 CONCEICAO DE MACABU;220;259
330150 CORDEIRO;242;246
330160 DUAS BARRAS;136;144
330170 DUQUE DE CAXIAS;11540;11706
330180 ENGENHEIRO PAULO DE FRONTIN;124;130
330185 GUAPIMIRIM;664;675
330187 IGUABA GRANDE;336;340
330190 ITABORAI;2823;2844
330200 ITAGUAI;1653;1676
330205 ITALVA;144;177
330210 ITAOCARA;261;266
330220 ITAPERUNA;891;1061
330225 ITATIAIA;358;361
