MUN;Nao;Total
171090 ITAPIRATINS;56;57
171110 ITAPORA DO TOCANTINS;33;33
171150 JAU DO TOCANTINS;33;33
171180 JUARINA;34;34
171190 LAGOA DA CONFUSAO;260;263
171195 LAGOA DO TOCANTINS;56;56
171200 LAJEADO;55;56
171215 LAVANDEIRA;20;21
171240 LIZARDA;43;45
171245 LUZINOPOLIS;35;35
171250 MARIANOPOLIS DO TOCANTINS;65;66
171270 MATEIROS;41;42
171280 MAURILANDIA DO TOCANTINS;37;37
171320 MIRACEMA DO TOCANTINS;320;324
171330 MIRANORTE;185;186
171360 MONTE DO CARMO;72;72
171370 MONTE SANTO DO TOCANTINS;24;25
171380 PALMEIRAS DO TOCANTINS;60;61
171395 MURICILANDIA;58;59
171420 NATIVIDADE;129;131
171430 NAZARE;50;51
171488 NOVA OLINDA;155;155
171500 NOVA ROSALANDIA;40;41
171510 NOVO ACORDO;73;74
171515 NOVO ALEGRE;19;19
171525 NOVO JARDIM;29;29
171550 OLIVEIRA DE FATIMA;17;17
171570 PALMEIRANTE;56;56
171575 PALMEIROPOLIS;72;73
171610 PARAISO DO TOCANTINS;815;826
171620 PARANA;170;171
171630 PAU D'ARCO;64;66
171650 PEDRO AFONSO;244;251
171660 PEIXE;132;134
171665 PEQUIZEIRO;60;60
171670 COLMEIA;103;104
171700 PINDORAMA DO TOCANTINS;49;49
171720 PIRAQUE;30;30
171750 PIUM;85;86
171780 PONTE ALTA DO BOM JESUS;51;51
171790 PONTE ALTA DO TOCANTINS;96;97
171800 PORTO ALEGRE DO TOCANTINS;44;44
171820 PORTO NACIONAL;1160;1185
171830 PRAIA NORTE;81;81
171840 PRESIDENTE KENNEDY;40;40
171845 PUGMIL;28;28
171850 RECURSOLANDIA;36;37
171855 RIACHINHO;54;54
171865 RIO DA CONCEICAO;28;28
171870 RIO DOS BOIS;38;38
171875 RIO SONO;64;64
171880 SAMPAIO;80;81
171884 SANDOLANDIA;47;47
171886 SANTA FE DO ARAGUAIA;127;127
171888 SANTA MARIA DO TOCANTINS;38;38
171889 SANTA RITA DO TOCANTINS;38;38
171890 SANTA ROSA DO TOCANTINS;79;81
171900 SANTA TEREZA DO TOCANTINS;61;63
172000 SANTA TEREZINHA DO TOCANTINS;22;22
172010 SAO BENTO DO TOCANTINS;66;68
172015 SAO FELIX DO TOCANTINS;24;24
172020 SAO MIGUEL DO TOCANTINS;126;126
172025 SAO SALVADOR DO TOCANTINS;34;36
172030 SAO SEBASTIAO DO TOCANTINS;81;83
172049 SAO VALERIO;43;44
172065 SILVANOPOLIS;80;81
172080 SITIO NOVO DO TOCANTINS;151;151
172085 SUCUPIRA;27;27
172090 TAGUATINGA;115;116
172093 TAIPAS DO TOCANTINS;30;30
172097 TALISMA;23;23
172100 PALMAS;4851;4946
172110 TOCANTINIA;189;191
172120 TOCANTINOPOLIS;369;373
172125 TUPIRAMA;38;38
172130 TUPIRATINS;28;28
172208 WANDERLANDIA;135;138
172210 XAMBIOA;190;193
210005 ACAILANDIA;1755;1764
210010 AFONSO CUNHA;107;107
210015 AGUA DOCE DO MARANHAO;164;169
210020 ALCANTARA;210;212
210030 ALDEIAS ALTAS;428;430
210040 ALTAMIRA DO MARANHAO;75;75
210043 ALTO ALEGRE DO MARANHAO;393;397
210047 ALTO ALEGRE DO PINDARE;429;440
210050 ALTO PARNAIBA;190;191
210055 AMAPA DO MARANHAO;126;126
210060 AMARANTE DO MARANHAO;724;729
210070 ANAJATUBA;273;275
210080 ANAPURUS;303;303
210083 APICUM-ACU;148;255
210087 ARAGUANA;181;182
210090 ARAIOSES;543;552
210095 ARAME;581;582
210100 ARARI;408;410
210110 AXIXA;160;160
210120 BACABAL;1588;1598
210125 BACABEIRA;280;286
210130 BACURI;260;262
210135 BACURITUBA;49;49
210140 BALSAS;1829;1842
210150 BARAO DE GRAJAU;264;267
210160 BARRA DO CORDA;1434;1445
210170 BARREIRINHAS;1263;1270
210173 BELAGUA;207;208
210177 BELA VISTA DO MARANHAO;189;189
210180 BENEDITO LEITE;63;66
210190 BEQUIMAO;227;228
210193 BERNARDO DO MEARIM;68;71
210197 BOA VISTA DO GURUPI;133;133
210200 BOM JARDIM;601;613
210203 BOM JESUS DAS SELVAS;461;498
210207 BOM LUGAR;165;165
210210 BREJO;513;515
210215 BREJO DE AREIA;156;157
210220 BURITI;522;526
210230 BURITI BRAVO;341;343
210232 BURITICUPU;1120;1174
210235 BURITIRANA;207;211
210237 CACHOEIRA GRANDE;162;163
210240 CAJAPIO;86;122
210250 CAJARI;251;255
210255 CAMPESTRE DO MARANHAO;210;210
210260 CANDIDO MENDES;342;344
210270 CANTANHEDE;288;292
210275 CAPINZAL DO NORTE;146;147
210280 CAROLINA;386;390
210290 CARUTAPERA;433;433
210300 CAXIAS;2484;2514
210310 CEDRAL;97;102
210312 CENTRAL DO MARANHAO;118;128
210315 CENTRO DO GUILHERME;213;214
210317 CENTRO NOVO DO MARANHAO;328;332
210320 CHAPADINHA;1437;1448
210325 CIDELANDIA;129;130
210330 CODO;1778;1808
210340 COELHO NETO;600;606
210350 COLINAS;632;633
210355 CONCEICAO DO LAGO-ACU;235;241
210360 COROATA;1004;1008
210370 CURURUPU;501;507
210375 DAVINOPOLIS;208;211
210380 DOM PEDRO;339;345
210390 DUQUE BACELAR;168;168
210400 ESPERANTINOPOLIS;292;293
210405 ESTREITO;539;546
210407 FEIRA NOVA DO MARANHAO;117;120
210408 FERNANDO FALCAO;233;235
210409 FORMOSA DA SERRA NEGRA;213;216
210410 FORTALEZA DOS NOGUEIRAS;212;214
210420 FORTUNA;239;239
210430 GODOFREDO VIANA;164;165
210440 GONCALVES DIAS;213;214
210450 GOVERNADOR ARCHER;166;167
210455 GOVERNADOR EDISON LOBAO;323;327
210460 GOVERNADOR EUGENIO BARROS;239;240
210462 GOVERNADOR LUIZ ROCHA;99;101
210465 GOVERNADOR NEWTON BELLO;152;153
210467 GOVERNADOR NUNES FREIRE;427;432
210470 GRACA ARANHA;69;69
210480 GRAJAU;1432;1441
210490 GUIMARAES;121;130
210500 HUMBERTO DE CAMPOS;509;513
210510 ICATU;316;349
210515 IGARAPE DO MEIO;282;285
210520 IGARAPE GRANDE;167;171
210530 IMPERATRIZ;4726;4793
210535 ITAIPAVA DO GRAJAU;208;210
210540 ITAPECURU MIRIM;1161;1175
210542 ITINGA DO MARANHAO;248;253
210545 JATOBA;128;128
210547 JENIPAPO DOS VIEIRAS;341;344
210550 JOAO LISBOA;416;419
210560 JOSELANDIA;197;198
210565 JUNCO DO MARANHAO;98;98
210570 LAGO DA PEDRA;758;761
210580 LAGO DO JUNCO;143;144
210590 LAGO VERDE;237;240
210592 LAGOA DO MATO;131;131
210594 LAGO DOS RODRIGUES;88;88
210596 LAGOA GRANDE DO MARANHAO;205;205
210598 LAJEADO NOVO;94;95
210600 LIMA CAMPOS;169;172
210610 LORETO;148;148
210620 LUIS DOMINGUES;131;132
210630 MAGALHAES DE ALMEIDA;173;173
210632 MARACACUME;356;359
210635 MARAJA DO SENA;106;107
210637 MARANHAOZINHO;186;188
210640 MATA ROMA;286;290
210650 MATINHA;355;357
210660 MATOES;418;421
210663 MATOES DO NORTE;143;145
210667 MILAGRES DO MARANHAO;71;73
210670 MIRADOR;292;295
210675 MIRANDA DO NORTE;261;263
210680 MIRINZAL;133;223
210690 MONCAO;470;477
210700 MONTES ALTOS;135;136
210710 MORROS;339;351
210720 NINA RODRIGUES;223;224
210725 NOVA COLINAS;77;77
210730 NOVA IORQUE;44;44
210735 NOVA OLINDA DO MARANHAO;275;277
210740 OLHO D'AGUA DAS CUNHAS;279;282
210745 OLINDA NOVA DO MARANHAO;177;180
210750 PACO DO LUMIAR;1762;1797
210760 PALMEIRANDIA;241;245
210770 PARAIBANO;275;276
210780 PARNARAMA;440;447
210790 PASSAGEM FRANCA;298;299
210800 PASTOS BONS;276;277
210805 PAULINO NEVES;321;331
210810 PAULO RAMOS;364;369
210820 PEDREIRAS;521;523
210825 PEDRO DO ROSARIO;355;360
210830 PENALVA;630;634
210840 PERI MIRIM;133;133
210845 PERITORO;333;334
210850 PINDARE-MIRIM;459;462
210860 PINHEIRO;1390;1411
210870 PIO XII;374;378
210880 PIRAPEMAS;246;249
210890 POCAO DE PEDRAS;230;235
210900 PORTO FRANCO;423;428
210905 PORTO RICO DO MARANHAO;56;64
210910 PRESIDENTE DUTRA;757;760
210920 PRESIDENTE JUSCELINO;193;194
210923 PRESIDENTE MEDICI;78;78
210927 PRESIDENTE SARNEY;349;353
210930 PRESIDENTE VARGAS;203;207
210940 PRIMEIRA CRUZ;206;206
210945 RAPOSA;457;467
210950 RIACHAO;348;348
210955 RIBAMAR FIQUENE;98;101
210960 ROSARIO;574;580
210970 SAMBAIBA;73;74
210975 SANTA FILOMENA DO MARANHAO;80;81
210980 SANTA HELENA;455;459
210990 SANTA INES;1490;1501
211000 SANTA LUZIA;1061;1084
211003 SANTA LUZIA DO PARUA;360;362
211010 SANTA QUITERIA DO MARANHAO;406;415
211020 SANTA RITA;547;551
211023 SANTANA DO MARANHAO;106;111
211027 SANTO AMARO DO MARANHAO;194;200
211030 SANTO ANTONIO DOS LOPES;241;241
211040 SAO BENEDITO DO RIO PRETO;373;379
211050 SAO BENTO;473;474
211060 SAO BERNARDO;381;384
211065 SAO DOMINGOS DO AZEITAO;66;67
211070 SAO DOMINGOS DO MARANHAO;588;592
211080 SAO FELIX DE BALSAS;66;66
211085 SAO FRANCISCO DO BREJAO;105;105
211090 SAO FRANCISCO DO MARANHAO;124;133
211100 SAO JOAO BATISTA;225;229
211102 SAO JOAO DO CARU;246;247
211105 SAO JOAO DO PARAISO;145;147
211107 SAO JOAO DO SOTER;221;223
211110 SAO JOAO DOS PATOS;368;372
211120 SAO JOSE DE RIBAMAR;3475;3556
211125 SAO JOSE DOS BASILIOS;97;97
211130 SAO LUIS;14056;14287
211140 SAO LUIS GONZAGA DO MARANHAO;290;292
211150 SAO MATEUS DO MARANHAO;578;587
211153 SAO PEDRO DA AGUA BRANCA;141;142
211157 SAO PEDRO DOS CRENTES;116;117
211160 SAO RAIMUNDO DAS MANGABEIRAS;322;324
211163 SAO RAIMUNDO DO DOCA BEZERRA;90;91
211167 SAO ROBERTO;88;88
211170 SAO VICENTE FERRER;253;255
211172 SATUBINHA;75;77
211174 SENADOR ALEXANDRE COSTA;152;153
211176 SENADOR LA ROCQUE;251;255
211178 SERRANO DO MARANHAO;157;158
211180 SITIO NOVO;238;240
211190 SUCUPIRA DO NORTE;195;195
211195 SUCUPIRA DO RIACHAO;25;25
211200 TASSO FRAGOSO;151;154
211210 TIMBIRAS;466;474
211220 TIMON;2869;2888
211223 TRIZIDELA DO VALE;318;320
211227 TUFILANDIA;82;82
211230 TUNTUM;481;487
211240 TURIACU;665;670
211245 TURILANDIA;333;334
211250 TUTOIA;991;1012
211260 URBANO SANTOS;602;602
211270 VARGEM GRANDE;810;818
211280 VIANA;915;924
211285 VILA NOVA DOS MARTIRIOS;159;160
211290 VITORIA DO MEARIM;456;459
211300 VITORINO FREIRE;431;431
211400 ZE DOCA;754;754
220005 ACAUA;84;84
220010 AGRICOLANDIA;60;60
220020 AGUA BRANCA;253;255
220025 ALAGOINHA DO PIAUI;91;92
220027 ALEGRETE DO PIAUI;56;56
220030 ALTO LONGA;124;125
220040 ALTOS;578;595
220045 ALVORADA DO GURGUEIA;67;68
220050 AMARANTE;257;267
220060 ANGICAL DO PIAUI;77;81
220070 ANISIO DE ABREU;139;140
220080 ANTONIO ALMEIDA;40;41
220090 AROAZES;64;65
220095 AROEIRAS DO ITAIM;23;23
220100 ARRAIAL;46;47
220105 ASSUNCAO DO PIAUI;122;126
220110 AVELINO LOPES;168;169
220115 BAIXA GRANDE DO RIBEIRO;264;265
220117 BARRA D'ALCANTARA;46;46
220120 BARRAS;673;682
220130 BARREIRAS DO PIAUI;52;52
220140 BARRO DURO;79;82
220150 BATALHA;313;325
220155 BELA VISTA DO PIAUI;60;60
220157 BELEM DO PIAUI;39;40
220160 BENEDITINOS;113;118
220170 BERTOLINIA;70;70
220173 BETANIA DO PIAUI;102;103
220177 BOA HORA;80;81
220180 BOCAINA;33;33
220190 BOM JESUS;504;508
220191 BOM PRINCIPIO DO PIAUI;93;94
220192 BONFIM DO PIAUI;78;78
220194 BOQUEIRAO DO PIAUI;82;83
220196 BRASILEIRA;93;93
220198 BREJO DO PIAUI;29;29
